"Date","Chrome","IE","Firefox","Safari","Opera","Android","UC Browser","Nokia","BlackBerry","IEMobile","Samsung Internet","NetFront","Edge","360 Safe Browser","Maxthon","Yandex Browser","Sony PS3","Sogou Explorer","Silk","Unknown","QQ Browser","Chromium","Dolfin","Mozilla","Samsung","Coc Coc","Puffin","AOL","Openwave","SeaMonkey","Obigo","SonyEricsson","Jasmine","Phantom","Sony PS4","RockMelt","Pale Moon","Iron","Sony PSP","Other"
2008-12,1.25,67.27,25.16,2.49,2.9,0.01,0,0.11,0.03,0.01,0,0.01,0,0,0,0,0.07,0,0,0,0,0,0,0.15,0,0,0,0.28,0.02,0.04,0,0.02,0,0,0,0,0,0,0.03,0.17
2009-01,1.37,64.97,26.85,2.79,3.07,0.01,0,0.12,0.03,0.01,0,0.01,0,0,0,0,0.08,0,0,0,0,0,0,0.15,0,0,0,0.27,0.02,0.04,0,0.02,0,0,0,0,0,0,0.03,0.17
2009-02,1.5,63.98,27.66,2.83,3.09,0.01,0,0.13,0.04,0.01,0,0.01,0,0,0,0,0.07,0,0,0,0,0,0,0.15,0,0,0,0.26,0.02,0.03,0,0.02,0,0,0,0,0,0,0.02,0.16
2009-03,1.71,62.02,29.17,3.02,3.09,0.02,0,0.14,0.05,0.01,0,0.01,0,0,0,0,0.08,0,0,0,0,0,0,0.16,0,0,0,0.25,0.02,0.03,0,0.03,0,0,0,0,0,0,0.03,0.16
2009-04,2.05,61.34,29.41,3.09,3.12,0.02,0,0.14,0.06,0.01,0,0.01,0,0,0,0,0.1,0,0,0,0,0,0,0.17,0,0,0,0.23,0.02,0.03,0,0.03,0,0,0,0,0,0,0.02,0.15
2009-05,2.4,61.55,28.5,2.95,3.41,0.02,0,0.15,0.06,0.01,0,0.01,0,0,0,0,0.09,0,0,0,0,0,0,0.39,0,0,0,0.21,0.02,0.03,0,0.03,0,0,0,0,0,0,0.02,0.15
2009-06,2.79,58.93,30.05,3.24,3.57,0,0,0.17,0.07,0.01,0,0.02,0,0,0,0,0.11,0,0,0,0,0,0,0.54,0,0,0,0.2,0.02,0.03,0,0.03,0,0,0,0,0,0,0.03,0.18
2009-07,2.98,59.48,30.18,3.35,2.88,0.02,0,0.2,0.09,0.01,0,0.02,0,0,0,0,0.13,0,0,0,0,0,0,0.2,0,0,0,0.2,0.02,0.03,0,0.02,0,0,0,0,0,0,0.03,0.16
2009-08,3.34,58.04,30.93,3.59,2.92,0.03,0,0.21,0.09,0.01,0,0.04,0,0,0,0,0.15,0,0,0,0,0,0,0.24,0.01,0,0,0.19,0.02,0.03,0,0,0,0,0,0,0,0,0.02,0.13
2009-09,3.65,57.72,30.99,3.59,2.89,0.03,0,0.23,0.1,0.01,0,0.04,0,0,0,0,0.12,0,0,0,0,0,0,0.26,0.01,0,0,0.18,0.02,0.03,0,0,0,0,0,0,0,0,0.02,0.12
2009-10,4.12,57.3,31.45,3.77,2.17,0.03,0,0.24,0.1,0.01,0,0.04,0,0,0,0,0.13,0,0,0,0,0,0,0.28,0.01,0,0,0.17,0.02,0.03,0,0,0,0,0,0,0,0,0.02,0.11
2009-11,4.61,55.89,31.82,4,2.32,0.04,0,0.23,0.11,0.01,0,0.04,0,0,0,0,0.14,0,0,0,0,0,0,0.43,0.01,0,0,0.16,0.02,0.03,0,0,0,0,0,0,0,0,0.02,0.12
2009-12,5.38,55.01,31.56,3.85,2.37,0.05,0,0.24,0.12,0.01,0,0.04,0,0,0.28,0,0.15,0,0,0,0,0,0,0.59,0.01,0,0,0.14,0.01,0.03,0,0,0,0,0,0,0,0,0.02,0.13
2010-01,5.94,54.39,31.15,4.22,2.37,0.07,0,0.29,0.15,0.01,0,0.05,0,0,0.37,0,0.15,0,0,0,0,0,0,0.47,0.01,0,0,0.13,0.02,0.03,0,0,0,0,0,0,0,0,0.02,0.15
2010-02,6.6,53.56,31.28,4.59,2.37,0.09,0,0.29,0.18,0.01,0,0.05,0,0,0.29,0,0.13,0,0,0,0,0,0,0.16,0.02,0,0,0.14,0.02,0.03,0,0,0,0,0,0,0,0,0.02,0.16
2010-03,7.15,53.37,30.65,4.67,2.44,0.11,0.02,0.32,0.24,0.01,0,0.06,0,0,0.28,0,0.13,0,0,0,0,0,0,0.16,0.02,0,0,0.13,0.02,0.03,0,0.01,0,0,0,0,0,0,0.02,0.15
2010-04,7.89,52.1,31.05,4.77,2.34,0.13,0.02,0.34,0.3,0.01,0,0.07,0,0,0.25,0,0.14,0,0,0.05,0,0,0,0.16,0.02,0,0,0.12,0.02,0.03,0,0.01,0,0,0,0,0,0,0.03,0.15
2010-05,8.41,51.54,30.91,4.72,2.53,0.15,0.03,0.34,0.32,0.01,0,0.07,0,0,0.23,0,0.14,0,0,0.08,0,0,0,0.15,0.02,0,0,0.11,0.02,0.03,0,0.01,0,0,0,0,0,0,0.02,0.17
2010-06,9,51.5,30.35,4.65,2.53,0.18,0.03,0.41,0.38,0.01,0,0.09,0,0,0.22,0,0.14,0,0,0,0,0,0,0.14,0.02,0,0,0.11,0.02,0.03,0,0.01,0,0,0,0,0,0,0.03,0.17
2010-07,9.6,51.17,29.81,4.71,2.53,0.24,0.03,0.47,0.46,0.01,0,0.1,0,0,0.2,0,0.15,0,0,0,0,0,0,0.12,0.03,0,0,0.1,0.02,0.03,0,0.01,0,0,0,0,0,0,0.03,0.18
2010-08,10.41,49.69,30.09,4.92,2.57,0.29,0.03,0.52,0.54,0.01,0,0.11,0,0,0.18,0,0.15,0,0,0,0,0,0,0.11,0.03,0,0,0.09,0.02,0.03,0,0.01,0,0,0,0,0,0,0.02,0.17
2010-09,11.14,48.13,30.39,5.06,2.83,0.33,0.03,0.59,0.62,0.01,0,0.12,0,0,0.17,0,0.13,0,0,0,0,0,0,0.1,0.03,0,0,0.08,0.02,0.03,0,0.01,0,0,0,0,0,0,0.02,0.16
2010-10,11.92,47.33,30.05,5.23,2.86,0.39,0.04,0.63,0.69,0.01,0,0.13,0,0,0.16,0,0.13,0,0,0,0,0,0,0.09,0.03,0,0,0.07,0.02,0.03,0,0.01,0,0,0,0,0,0,0.02,0.16
2010-11,12.81,46.22,29.92,5.39,2.81,0.45,0.04,0.67,0.77,0.01,0,0.16,0,0,0.18,0,0.13,0,0,0,0,0,0,0.09,0.05,0,0,0.06,0.03,0.03,0,0.02,0,0,0,0,0,0,0.01,0.17
2010-12,14.24,45.02,29.5,5.56,2.81,0.54,0.03,0.64,0.73,0.01,0,0.16,0,0,0.16,0,0.14,0,0,0,0,0,0,0.08,0.07,0,0,0.05,0.03,0.03,0,0.02,0,0,0,0,0,0,0.02,0.16
2011-01,15.01,44.03,29.36,5.94,2.81,0.62,0.03,0.67,0.64,0.01,0,0.16,0,0,0.14,0,0.14,0,0,0,0,0,0,0.08,0.07,0,0,0.06,0.03,0.02,0,0.02,0,0,0,0,0,0,0.02,0.15
2011-02,15.81,43.42,29.02,5.94,2.86,0.67,0.04,0.7,0.64,0.02,0,0.17,0,0,0.16,0,0.13,0,0,0,0,0,0,0.07,0.08,0,0,0.05,0.02,0.03,0,0.02,0,0,0,0,0,0,0.02,0.15
2011-03,16.55,42.99,28.57,5.93,2.87,0.73,0.03,0.75,0.65,0.02,0,0.18,0,0,0.16,0,0.13,0,0,0,0,0,0,0.07,0.09,0,0,0.05,0.03,0.03,0,0.02,0,0,0,0,0,0,0.01,0.14
2011-04,17.33,42.2,28.13,5.99,2.95,0.83,0.04,0.85,0.7,0.02,0,0.18,0,0,0.16,0,0.13,0,0,0.03,0,0.01,0.01,0.05,0.07,0,0,0.04,0.03,0.02,0,0.02,0.01,0,0,0.01,0,0,0.02,0.14
2011-05,18.25,41.35,27.61,5.98,2.99,1.01,0.03,0.95,0.73,0.02,0,0.13,0,0,0.15,0,0.14,0,0,0.11,0,0.05,0.04,0.04,0.01,0,0,0.02,0.02,0.02,0.05,0.02,0.05,0,0,0.03,0,0.02,0.02,0.15
2011-06,19.3,40.74,26.49,6.05,3.11,1.17,0.04,1.15,0.78,0.02,0,0.2,0,0,0.14,0,0.13,0,0,0.08,0,0.05,0.05,0.04,0.02,0,0,0.02,0.02,0.02,0.06,0.03,0.06,0,0,0.03,0,0.02,0.02,0.15
2011-07,20.59,39.47,25.99,6.2,3.09,1.33,0.05,1.2,0.87,0.02,0,0.28,0,0,0.15,0,0.14,0,0,0,0,0.05,0.06,0.04,0.04,0,0,0.01,0.02,0.02,0.07,0.03,0.06,0,0,0.03,0,0.02,0.02,0.15
2011-08,21.51,38.9,25.53,6.2,3.09,1.47,0.06,1.21,0.83,0.02,0,0.29,0,0,0.13,0,0.14,0,0,0,0,0.05,0.07,0.03,0.04,0,0,0.01,0.02,0.02,0.07,0.03,0.07,0,0,0.03,0,0.02,0.02,0.14
2011-09,22.02,38.85,24.98,6.65,3.12,1.4,0.08,1.08,0.71,0.03,0,0.23,0,0,0.13,0,0.14,0,0,0,0,0.05,0.07,0.03,0.04,0,0,0.01,0.02,0.02,0.06,0.03,0.05,0,0,0.03,0,0.02,0.02,0.13
2011-10,23.36,37.55,24.66,7.07,3.1,1.49,0.31,0.81,0.61,0.03,0,0.2,0,0,0.13,0,0.14,0,0,0,0,0.06,0.06,0.03,0.04,0,0,0.01,0.02,0.03,0.05,0.02,0.04,0,0,0.03,0,0.02,0.02,0.12
2011-11,23.9,37.8,23.49,7.18,3.26,1.55,0.36,0.83,0.58,0.03,0,0.21,0,0,0.12,0,0.13,0,0,0,0,0.06,0.07,0.03,0.04,0,0,0.01,0.02,0.02,0.04,0.02,0.04,0,0,0.03,0,0.02,0.02,0.14
2011-12,25.08,35.54,23.25,7.41,3.77,1.8,0.4,1.04,0.62,0.03,0,0.25,0,0,0.09,0,0.13,0,0,0,0,0.07,0.08,0.02,0.05,0,0,0.01,0.02,0.03,0.05,0.02,0.04,0,0,0.03,0,0.02,0.02,0.15
2012-01,25.99,34.27,22.69,8.09,3.77,2.03,0.46,1,0.59,0.03,0,0.27,0,0,0.08,0,0.12,0,0,0,0,0.06,0.09,0.02,0.05,0,0,0.01,0.02,0.03,0.04,0.02,0.04,0,0,0.03,0,0.02,0.02,0.14
2012-02,27.3,32.7,22.77,8.35,3.7,2.17,0.5,0.96,0.58,0.04,0,0.22,0,0,0.08,0,0.04,0,0,0,0,0.06,0.09,0.02,0.05,0,0,0.01,0.02,0.03,0.04,0.02,0.03,0,0,0.03,0,0.02,0.02,0.15
2012-03,28.1,31.68,22.75,8.26,3.68,2.15,0.57,1.07,0.58,0.04,0,0.3,0,0,0.09,0,0.06,0,0.03,0,0,0.06,0.11,0.02,0.06,0,0,0.01,0.01,0.03,0.04,0.02,0.04,0,0,0.04,0,0.02,0.02,0.15
2012-04,28.24,30.8,22.5,8.72,3.62,2.31,0.74,1.1,0.59,0.05,0,0.36,0,0,0.1,0,0.11,0,0.07,0.01,0.01,0.06,0.13,0.02,0.07,0,0,0,0.01,0.03,0.04,0.02,0.04,0,0,0.05,0,0.03,0.02,0.15
2012-05,29.15,28.87,22.98,8.68,3.81,2.41,0.86,1.17,0.57,0.06,0,0.4,0,0.02,0.1,0,0.11,0,0.07,0.03,0.02,0.07,0.14,0.02,0.07,0,0,0,0.01,0.03,0.04,0.02,0.04,0,0,0.05,0,0.03,0.02,0.14
2012-06,29.36,28.95,22.02,8.82,3.81,2.59,0.89,1.15,0.54,0.06,0,0.42,0,0.29,0.11,0,0.11,0,0.08,0.03,0.02,0.07,0.14,0.01,0.07,0,0,0,0.01,0.03,0.04,0.02,0.04,0,0,0.05,0.03,0.03,0.02,0.16
2012-07,30.13,28.49,21.13,9.11,3.68,2.88,0.91,1.13,0.55,0.08,0,0.43,0,0.39,0.11,0,0.12,0.01,0.09,0.06,0.02,0.07,0.14,0.01,0.07,0,0,0,0.01,0.02,0.03,0.01,0.04,0,0,0.06,0.03,0.02,0.02,0.16
2012-08,29.82,29.1,20.3,9.3,3.65,3.13,0.89,1.17,0.53,0.09,0,0.44,0,0.36,0.11,0,0.12,0.1,0.08,0.08,0.03,0.07,0.14,0.01,0.07,0,0,0,0.01,0.02,0.03,0.01,0.04,0.01,0,0.06,0.02,0.02,0.02,0.18
2012-09,30.28,28.89,19.85,9.54,3.67,3.29,0.86,1.24,0.53,0.09,0,0.47,0,0.06,0.12,0,0.12,0.11,0.08,0.08,0.03,0.08,0.14,0.01,0.07,0,0,0,0.01,0.02,0.03,0.01,0.04,0.01,0,0.05,0.03,0.02,0.02,0.16
2012-10,30.69,28.26,19.73,9.69,3.69,3.46,0.91,1.22,0.51,0.1,0,0.48,0,0.06,0.12,0,0.12,0.11,0.07,0.08,0.03,0.07,0.14,0.01,0.06,0,0,0,0.01,0.02,0.03,0.01,0.04,0.02,0,0.05,0.03,0.01,0.01,0.14
2012-11,31.28,27.28,19.61,9.83,3.49,3.86,1.15,1.18,0.49,0.1,0,0.47,0,0.07,0.12,0.01,0.11,0.11,0.07,0.08,0.03,0.07,0.13,0.01,0.07,0,0,0,0.01,0.02,0.03,0.01,0.03,0.02,0,0.05,0.03,0.01,0.01,0.14
2012-12,31.42,26.47,18.88,10.07,3.46,4.47,1.43,1.27,0.49,0.13,0,0.52,0,0.15,0.14,0.04,0.12,0.12,0.07,0.08,0.03,0.06,0.13,0.01,0.07,0,0,0,0.01,0.02,0.03,0.01,0.04,0.02,0,0.04,0.03,0.01,0.02,0.14
2013-01,31.71,26.55,18.55,10.66,3.11,4.78,1.32,1.01,0.46,0.14,0,0.37,0,0.08,0.13,0.11,0.12,0.12,0.13,0.07,0.03,0.05,0.1,0.01,0.06,0,0,0,0.01,0.02,0.02,0.01,0.02,0.02,0,0.04,0.03,0.01,0.01,0.14
2013-02,32.2,25.74,18.45,11.14,3.16,4.96,1.15,0.95,0.45,0.15,0,0.34,0,0.08,0.13,0.13,0.11,0.11,0.15,0.06,0.03,0.04,0.09,0.01,0.06,0,0,0,0.01,0.02,0.02,0.01,0.02,0.02,0,0.04,0.03,0.01,0.01,0.14
